"Kode","Stednavn","region","big_category_code","big_category","small_category_code","small_category","west_of_Helsingør","decLatitude","decLongitude","Modern_Country","Modern_name","Province","Remark","Zoom"
"017VES","Vestermark","Danmark","1","The Baltic","1","Denmark","false","54.89833300","11.64888800","Denmark","Vestermark","Zealand",,"11"
"018NAH","Nakkehoved","Danmark","14","Skagerrak, Kattegat (Denmark, Sweden)","1","Denmark","true","56.11333300","12.36194400","Denmark","Nakkehoved","Capital Region",,"11"
"018NAK","Nakke","Danmark","14","Skagerrak, Kattegat (Denmark, Sweden)","1","Denmark","true","55.92333300","11.73027700","Denmark","Nakke","Zealand",,"11"
"019ALL","Allinge","Danmark","1","The Baltic","1","Denmark","false","55.25000000","14.80222200","Denmark","Allinge","Capital Region",,"11"
"019ART","Ærtholmene","Danmark","1","The Baltic","1","Denmark","false","55.32060000","15.18900000","Denmark","Ertholmene","Capital Region",,"13"
"019BOA","Bornholm","Danmark","1","The Baltic","1","Denmark","false","55.10000000","15.00000000","Denmark","Bornholm","Capital Region","Island","9"
"019HAL","Halsted","Danmark","1","The Baltic","1","Denmark","false","54.85000000","11.23333300","Denmark","Halsted","Zealand",,"11"
"019HAS","Hasle","Danmark","1","The Baltic","1","Denmark","false","55.18333300","14.71666600","Denmark","Hasle","Capital Region",,"11"
"019HEL","Helnæs","Danmark","1","The Baltic","1","Denmark","false","55.13333300","10.03333300","Denmark","Helnæs By","South Denmark",,"11"
"019HER","Herridslev","Danmark","1","The Baltic","1","Denmark","false","54.70000000","11.68333300","Denmark","Herridslev","Zealand",,"11"
"019KAT","Kattegat","Danmark","14","Skagerrak, Kattegat (Denmark, Sweden)","1","Denmark","true","57.00000000","11.00000000","Denmark","Kattegat","Denmark",,"11"
"019KRO","Kristiansø","Danmark","1","The Baltic","1","Denmark","false","55.32055500","15.18694400","Denmark","Christiansø","Capital Region",,"11"
"019NEK","Neksø","Danmark","1","The Baltic","1","Denmark","false","55.06666600","15.13000000","Denmark","Nexø","Capital Region",,"11"
"019NSV","Nørre Sejerslev","Danmark","2","North Sea (German/Danish coast)","1","Denmark","true","55.01220100","8.73004600","Denmark","Nørre Sejerslev","South Denmark",,"11"
"019RIN","Rungsted","Danmark","1","The Baltic","1","Denmark","false","55.86916600","12.55138800","Denmark","Rungsted","Capital Region",,"11"
"019RON","Rønne","Danmark","1","The Baltic","1","Denmark","false","55.10000000","14.70000000","Denmark","Rønne","Capital Region",,"11"
"019SAV","Sandvig","Danmark","1","The Baltic","1","Denmark","false","55.28880000","14.77440000","Denmark","Sandvig","Capital Region",,"11"
"019SEJ","Sejerslev","Danmark","2","North Sea (German/Danish coast)","1","Denmark","true","56.92305500","8.86666600","Denmark","Sejerslev","North Jutland",,"11"
"019SVA","Svaneke","Danmark","1","The Baltic","1","Denmark","false","55.13555500","15.14138800","Denmark","Svaneke","Capital Region",,"11"
"019VEB","Vedbæk","Danmark","1","The Baltic","1","Denmark","false","55.85000000","12.56666600","Denmark","Vedbæk","Capital Region",,"11"
"020NOR","Nordby","Danmark","2","North Sea (German/Danish coast)","1","Denmark","true","55.44583300","8.39777700","Denmark","Nordby","South Denmark",,"11"
"020OBE","Øbjerg","Danmark","2","North Sea (German/Danish coast)","1","Denmark","true","55.13861100","8.92527700","Denmark","Øbjerg","South Denmark",,"11"
